Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-15-00000352-50-26.12.31-SECD-23FF45EE;00000352;;;;;;
M-15-00000353-50-26.12.31-SECD-23FF45EE;00000353;;;;;;
M-15-00000354-50-26.12.31-SECD-23FF45EE;00000354;;;;;;
M-15-00000355-50-26.12.31-SECD-23FF45EE;00000355;;;;;;
M-15-00000356-50-26.12.31-SECD-23FF45EE;00000356;;;;;;
M-15-00000357-50-26.12.31-SECD-23FF45EE;00000357;;;;;;
M-15-00000358-50-26.12.31-SECD-23FF45EE;00000358;;;;;;
M-15-00000359-50-26.12.31-SECD-23FF45EE;00000359;;;;;;
M-15-00000360-50-26.12.31-SECD-23FF45EE;00000360;;;;;;
M-15-00000361-50-26.12.31-SECD-23FF45EE;00000361;;;;;;
M-15-00000362-50-26.12.31-SECD-23FF45EE;00000362;;;;;;
M-15-00000363-50-26.12.31-SECD-23FF45EE;00000363;;;;;;
M-15-00000364-50-26.12.31-SECD-23FF45EE;00000364;;;;;;
M-15-00000365-50-26.12.31-SECD-23FF45EE;00000365;;;;;;
M-15-00000366-50-26.12.31-SECD-23FF45EE;00000366;;;;;;
M-15-00000367-50-26.12.31-SECD-23FF45EE;00000367;;;;;;
M-15-00000368-50-26.12.31-SECD-23FF45EE;00000368;;;;;;
M-15-00000369-50-26.12.31-SECD-23FF45EE;00000369;;;;;;
M-15-00000370-50-26.12.31-SECD-23FF45EE;00000370;;;;;;
M-15-00000371-50-26.12.31-SECD-23FF45EE;00000371;;;;;;
